,movie_category,movie_name,movie_rating,movie_release_year,movie_url
0,Documentary,Jaws vs. the Meg,6.2,2023,https://yts.mx/movies/jaws-vs-the-meg-2023
1,Documentary,Hunters Lodge,4.9,2016,https://yts.mx/movies/hunters-lodge-2016
2,Documentary, Home Sweet Loan,8.3,2024,https://yts.mx/movies/home-sweet-loan-2024
3,Documentary,Showrunners: The Art of Running a TV Show,6.7,2014,https://yts.mx/movies/showrunners-the-art-of-running-a-tv-show-2014
4,Documentary,Den of Thieves 2: Pantera,6.5,2025,https://yts.mx/movies/den-of-thieves-2-pantera-2025
5,Documentary, Unveiling: The Horse Demon,6.2,2019,https://yts.mx/movies/unveiling-the-horse-demon-2019
6,Documentary,Wicked,7.7,2024,https://yts.mx/movies/wicked-2024
7,Documentary,Jurica Road,4.9,2020,https://yts.mx/movies/jurica-road-2020
8,Documentary, Richelieu,7.3,2023,https://yts.mx/movies/richelieu-2023
9,Documentary,Bone Cold,4.6,2022,https://yts.mx/movies/bone-cold-2022
10,Documentary, Feed,4.8,2022,https://yts.mx/movies/feed-2022
11,Documentary,Moana 2,7.0,2024,https://yts.mx/movies/moana-2-2024
12,Documentary,Shuttlecock,5.8,2019,https://yts.mx/movies/shuttlecock-2019
13,Documentary,Kill Bill: Vol. 1,8.2,2003,https://yts.mx/movies/kill-bill-vol-1-2003
14,Documentary,California,6.1,1947,https://yts.mx/movies/california-1947
15,Documentary, Un mundo maravilloso,6.9,2006,https://yts.mx/movies/un-mundo-maravilloso-2006
16,Documentary,Emmanuelle,4.5,2024,https://yts.mx/movies/emmanuelle-2024
17,Documentary,The Outsider,6.8,1948,https://yts.mx/movies/the-outsider-1948
18,Documentary,Paddington 2,7.8,2017,https://yts.mx/movies/paddington-2-2017
19,Documentary,Cries from Syria,8.3,2017,https://yts.mx/movies/cries-from-syria-2017
20,Comedy,Dawn Chorus,5.8,2022,https://yts.mx/movies/dawn-chorus-2022
21,Comedy,Sanctum,5.9,2011,https://yts.mx/movies/sanctum-2011
22,Comedy,Sniper: The Last Stand,4.4,2025,https://yts.mx/movies/sniper-the-last-stand-2025
23,Comedy,Dark Night of the Soul,6.8,2024,https://yts.mx/movies/dark-night-of-the-soul-2024
