movie_category,movie_name,movie_rating,movie_release_year,movie_url
Action,Walking Tall: Lone Justice,4.8,2007,https://yts.mx/movies/walking-tall-lone-justice-2007
Action,The Dead Matter,3.3,2010,https://yts.mx/movies/the-dead-matter-2010
Action,The Gun in Betty Lou's Handbag,5.1,1992,https://yts.mx/movies/the-gun-in-betty-lous-handbag-1992
Action, Hanzo the Razor: Who's Got the Gold?,6.5,1974,https://yts.mx/movies/hanzo-the-razor-whos-got-the-gold-1974
Action,Throttle,5.0,2005,https://yts.mx/movies/throttle-2005
Action,Our Vines Have Tender Grapes,7.6,1945,https://yts.mx/movies/our-vines-have-tender-grapes-1945
Action,My Suicide,7.1,2009,https://yts.mx/movies/my-suicide-2009
Action,"I, Anna",6.0,2012,https://yts.mx/movies/i-anna-2012
Action,You've Been Trumped,7.5,2011,https://yts.mx/movies/youve-been-trumped-2011
Action,Little Birds,6.1,2011,https://yts.mx/movies/little-birds-2011
Action,The Pirate Movie,5.4,1982,https://yts.mx/movies/the-pirate-movie-1982
Action, Super Deluxe,8.2,2019,https://yts.mx/movies/super-deluxe-2019
Action,The Russian Specialist,5.5,2005,https://yts.mx/movies/the-russian-specialist-2005
Action,White Mischief,6.4,1987,https://yts.mx/movies/white-mischief-1987
Action,Royally Wrapped for Christmas,6.3,2021,https://yts.mx/movies/royally-wrapped-for-christmas-2021
Action,Simply Complicated,7.4,2017,https://yts.mx/movies/simply-complicated-2017
Action,Zombies Have Fallen,2.5,2017,https://yts.mx/movies/zombies-have-fallen-2017
Action,Animal Farm,6.0,1999,https://yts.mx/movies/animal-farm-1999
Action,L.I.E.,7.1,2001,https://yts.mx/movies/l-i-e-2001
Action,Barbie as Rapunzel,6.5,2002,https://yts.mx/movies/barbie-as-rapunzel-2002
Comedy,Such Good People,4.8,2014,https://yts.mx/movies/such-good-people-2014
Comedy,The Barefoot Artist,6.9,2014,https://yts.mx/movies/the-barefoot-artist-2014
Comedy,Dino Bird,7.4,2017,https://yts.mx/movies/dino-bird-2017
Comedy,Escape from Germany,5.3,2024,https://yts.mx/movies/escape-from-germany-2024
Comedy,The Bat,6.5,1926,https://yts.mx/movies/the-bat-1926
Comedy,Old Guy,6.2,2024,https://yts.mx/movies/old-guy-2024
Comedy,The City Is Mine,4.4,2008,https://yts.mx/movies/the-city-is-mine-2008
Comedy,Forsaken,4.5,2017,https://yts.mx/movies/forsaken-2017
Comedy,Dawn of the Mummy,3.8,1981,https://yts.mx/movies/dawn-of-the-mummy-1981
Comedy,Overcome,5.5,2008,https://yts.mx/movies/overcome-2008
Comedy, Hukkle,7.0,2002,https://yts.mx/movies/hukkle-2002
Comedy,Hidden in Plain Sight,4.3,2019,https://yts.mx/movies/hidden-in-plain-sight-2019
Comedy,LEGO Marvel Super Heroes - Guardians of the Galaxy: The Thanos Threat,5.8,2017,https://yts.mx/movies/lego-marvel-super-heroes-guardians-of-the-galaxy-the-thanos-threat-2017
Comedy,2024 Rock & Roll Hall of Fame Induction Ceremony,7.4,2024,https://yts.mx/movies/2024-rock-roll-hall-of-fame-induction-ceremony-2024
Comedy, Blank Slate,5.2,2008,https://yts.mx/movies/blank-slate-2008
Comedy,Onegin,6.8,1999,https://yts.mx/movies/onegin-1999
Comedy,The Last Showgirl,6.7,2024,https://yts.mx/movies/the-last-showgirl-2024
Comedy,Gardens of the Night,6.8,2008,https://yts.mx/movies/gardens-of-the-night-2008
Comedy,SXSW Comedy with W. Kamau Bell,6.5,2015,https://yts.mx/movies/sxsw-comedy-with-w-kamau-bell-2015
Comedy,Always Worthy,5.8,2015,https://yts.mx/movies/always-worthy-2015
Action,Down for Whatever,6.4,2018,https://yts.mx/movies/down-for-whatever-2018
Action,River of Blood,5.6,2024,https://yts.mx/movies/river-of-blood-2024
Action,Blue Ridge,5.8,2014,https://yts.mx/movies/blue-ridge-2014
Action,Chasing Waterfalls,7.1,2016,https://yts.mx/movies/chasing-waterfalls-2016
Action,Lego Marvel Super Heroes: Avengers Reassembled,6.1,2015,https://yts.mx/movies/lego-marvel-super-heroes-avengers-reassembled-2015
Action,Bigfoot Encounters in the Pacific Northwest,3.9,2021,https://yts.mx/movies/bigfoot-encounters-in-the-pacific-northwest-2021
Action,Scared Shrekless,6.7,2010,https://yts.mx/movies/scared-shrekless-2010
Action,LEGO Marvel Avengers: Loki in Training,6.8,2021,https://yts.mx/movies/lego-marvel-avengers-loki-in-training-2021
Action,Greenwood Rising: The Rise of Black Wall Street,8.0,2024,https://yts.mx/movies/greenwood-rising-the-rise-of-black-wall-street-2024
Action,LEGO Marvel Avengers: Time Twisted,6.5,2022,https://yts.mx/movies/lego-marvel-avengers-time-twisted-2022
Action,Rachel Parris: Poise,,2024,https://yts.mx/movies/rachel-parris-poise-2024
Action,It's Just Unfortunate,,2025,https://yts.mx/movies/its-just-unfortunate-2025
Action,Believer,4.6,2024,https://yts.mx/movies/believer-2024
Action,Sunflower,6.8,2023,https://yts.mx/movies/sunflower-2023
Action,The Peanut Man,6.8,2024,https://yts.mx/movies/the-peanut-man-2024
Action,Bone Face,4.7,2025,https://yts.mx/movies/bone-face-2025
Action,Piglet,2.5,2025,https://yts.mx/movies/piglet-2025
Action,War of the Worlds: Extinction,3.1,2024,https://yts.mx/movies/war-of-the-worlds-extinction-2024
Action,If I Go Missing,5.7,2024,https://yts.mx/movies/if-i-go-missing-2024
Action,Roy Wood Jr.: Lonely Flowers,7.7,2025,https://yts.mx/movies/roy-wood-jr-lonely-flowers-2025
Documentary,Guns N' Roses: Live in New York,8.2,2022,https://yts.mx/movies/guns-n-roses-live-in-new-york-2022
Documentary,F'd: Tales from the End Times,,2025,https://yts.mx/movies/fd-tales-from-the-end-times-2025
Documentary,Mark Your Territory,7.4,2025,https://yts.mx/movies/mark-your-territory-2025
Documentary, Baby John,5.9,2024,https://yts.mx/movies/baby-john-2024
Documentary, Endless Summer Syndrome,6.9,2023,https://yts.mx/movies/endless-summer-syndrome-2023
Documentary, Dursun Çavus,4.3,2014,https://yts.mx/movies/dursun-cavus-2014
Documentary,Sugar Mama,5.3,2025,https://yts.mx/movies/sugar-mama-2025
Documentary, T'es pa bien là?,6.2,2013,https://yts.mx/movies/tes-pa-bien-la-2013
Documentary,Monster Mash,3.6,2024,https://yts.mx/movies/monster-mash-2024
Documentary,For Your Consideration,6.3,2006,https://yts.mx/movies/for-your-consideration-2006
Documentary,Ski People,,1980,https://yts.mx/movies/ski-people-1980
